
Current Date --> 2024-08-12 00:00:00
Machine ID --> M003
2024-08-12 12:17:10 12 0 1723445230
2024-08-12 12:17:20 20 0 1723445240
2024-08-12 12:17:30 1 1 1723445250
2024-08-12 12:17:40 1 20 1723445260
2024-08-12 12:17:50 1 39 1723445270
2024-08-12 12:30:23 1 783 1723446023
2024-08-12 12:30:32 1 802 1723446032
2024-08-12 12:30:43 1 820 1723446043
2024-08-12 12:30:53 1 839 1723446053
2024-08-12 12:31:03 1 858 1723446063
2024-08-12 12:31:13 1 877 1723446073
2024-08-12 12:31:23 1 896 1723446083
2024-08-12 12:31:33 1 914 1723446093
2024-08-12 12:31:43 1 933 1723446103
2024-08-12 12:31:53 1 952 1723446113
2024-08-12 12:32:03 1 953 1723446123
2024-08-12 12:32:13 1 953 1723446133
2024-08-12 12:32:23 1 953 1723446143
2024-08-12 12:32:33 1 953 1723446153
2024-08-12 12:32:56 1 953 1723446176
2024-08-12 12:33:06 1 953 1723446186
2024-08-12 12:33:16 1 953 1723446196
2024-08-12 12:33:26 1 953 1723446206
2024-08-12 12:33:36 1 953 1723446216
2024-08-12 12:33:46 1 953 1723446226
2024-08-12 12:33:56 1 953 1723446236
2024-08-12 12:34:06 1 953 1723446246
2024-08-12 12:34:16 1 953 1723446256
2024-08-12 12:34:26 1 953 1723446266
2024-08-12 12:34:36 1 953 1723446276
2024-08-12 12:34:46 1 953 1723446286
2024-08-12 12:37:31 1 953 1723446451
2024-08-12 12:37:41 1 953 1723446461
2024-08-12 12:37:51 1 953 1723446471
2024-08-12 12:38:01 1 953 1723446481
2024-08-12 12:38:11 1 953 1723446491
2024-08-12 12:38:21 1 953 1723446501
2024-08-12 12:38:31 1 953 1723446511
2024-08-12 12:38:41 1 953 1723446521
2024-08-12 12:38:51 1 953 1723446531
2024-08-12 12:39:01 1 953 1723446541
2024-08-12 12:39:11 1 953 1723446551
2024-08-12 12:39:21 1 953 1723446561
2024-08-12 12:39:44 1 953 1723446584
2024-08-12 12:39:54 1 953 1723446594
2024-08-12 12:40:04 1 953 1723446604
2024-08-12 12:40:14 1 953 1723446614
2024-08-12 12:40:24 1 953 1723446624
2024-08-12 12:40:34 1 953 1723446634
2024-08-12 12:40:44 1 953 1723446644
2024-08-12 12:40:54 1 953 1723446654
2024-08-12 12:41:04 1 953 1723446664
2024-08-12 12:41:14 1 953 1723446674
2024-08-12 12:41:24 1 953 1723446684
2024-08-12 12:41:34 1 953 1723446694
2024-08-12 12:41:44 1 953 1723446704
2024-08-12 12:41:54 1 953 1723446714
2024-08-12 12:42:04 1 953 1723446724
2024-08-12 12:42:14 1 953 1723446734
2024-08-12 12:42:24 1 953 1723446744
2024-08-12 12:42:34 1 953 1723446754
2024-08-12 12:42:44 1 953 1723446764
2024-08-12 12:42:54 1 953 1723446774
2024-08-12 12:43:04 1 953 1723446784
2024-08-12 12:43:14 1 953 1723446794
2024-08-12 12:43:24 1 953 1723446804
2024-08-12 12:43:34 1 953 1723446814
2024-08-12 12:43:44 1 953 1723446824
2024-08-12 12:43:54 1 953 1723446834
2024-08-12 12:44:04 1 953 1723446844
2024-08-12 12:44:14 1 953 1723446854
2024-08-12 12:44:24 1 953 1723446864
2024-08-12 12:44:34 1 953 1723446874
2024-08-12 12:44:44 1 953 1723446884
2024-08-12 12:44:54 1 953 1723446894
2024-08-12 12:45:04 1 953 1723446904
2024-08-12 12:45:14 1 953 1723446914
2024-08-12 12:45:24 1 953 1723446924
2024-08-12 12:45:34 1 953 1723446934
2024-08-12 12:45:44 1 953 1723446944
2024-08-12 12:45:54 1 953 1723446954
2024-08-12 12:46:05 1 953 1723446965
2024-08-12 12:46:14 1 953 1723446974
2024-08-12 12:46:24 1 953 1723446984
2024-08-12 12:46:35 1 953 1723446995
2024-08-12 12:46:44 1 953 1723447004
2024-08-12 12:46:55 1 953 1723447015
2024-08-12 12:47:04 1 953 1723447024
2024-08-12 12:47:15 1 953 1723447035
2024-08-12 12:47:24 1 953 1723447044
2024-08-12 12:47:35 1 953 1723447055
2024-08-12 12:47:45 1 953 1723447065
2024-08-12 12:47:54 1 953 1723447074
2024-08-12 12:48:05 1 953 1723447085
